,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.49186128176953864,0.2900496399911187,0.36058291677875437,0.36889596132715397,0.620991500129235
1,Transformer-FNET-128,0.4779060558877073,0.32889707040940797,0.42367877937961623,0.4096337621894634,0.5456978874585223
2,Transformer-MHA-64,0.6561218258465965,0.46222295735894164,0.4448923444976077,0.49209136938494735,0.9714357807999319
3,Transformer-MHA-128,0.5932391852116622,0.2893090796171998,0.30739299610894943,0.27380270086692104,0.8614571115113882
4,Transformer-FNET-64,0.583103882186451,0.31086553440050313,0.3358640686340423,0.388735921457634,0.7535300233647244
5,Transformer-FNET-128,0.5269678333898518,0.2837045271961327,0.3265728021039551,0.35131188892656784,0.7574984789552516
6,Transformer-MHA-64,0.7643879396172975,0.2879669092245918,0.2836930225106144,0.30575517584691897,0.7817009580504526
7,Transformer-MHA-128,0.5696598593387584,0.26321210527031447,0.2631083562901744,0.3107235596393228,0.7962451135610811
8,Transformer-FNET-64,0.4378106518014775,0.2360158886325038,0.28848212363710835,0.2626863910808865,0.6008841942602244
9,Transformer-FNET-128,0.42144923544006113,0.15856855147709847,0.18777316209624528,0.15804346329002295,0.4634801995431959
10,Transformer-MHA-64,0.6286286004175913,0.44486924817113255,0.4278483669108669,0.47147145031319343,0.9007210451923405
11,Transformer-MHA-128,0.5721211934514686,0.4239717951195103,0.43209758396248343,0.4290908950886015,0.7635781406389667
12,Transformer-FNET-64,0.4270004714958843,0.23565017389274331,0.28057491289198605,0.21350023574794216,0.6204636062913848
13,Transformer-FNET-128,0.5713195486131266,0.25010323658475314,0.25423888260042277,0.2856597743065633,0.7897629301978
14,Transformer-MHA-64,0.5857645242966344,0.3398449135686471,0.3510314371280341,0.3905096828644229,0.7254859161648015
15,Transformer-MHA-128,0.6270621665117078,0.5031363897859145,0.4895006552102532,0.5374818570100353,0.9037641175293323
16,Transformer-FNET-64,0.41790944359751697,0.15359428645236448,0.16105638250736212,0.17910404725607873,0.5498245690694805
17,Transformer-FNET-128,0.40674065995166914,0.15694651036853813,0.21188365001172885,0.17431742569357248,0.5300422262044108
18,Transformer-MHA-64,0.6113708242148609,0.4299077407443635,0.44010287190602304,0.5240321350413094,0.8724916382703196
19,Transformer-MHA-128,0.6043022981096375,0.4148621085119621,0.43002728291125514,0.4028681987397584,0.8115501678573132
20,Transformer-FNET-64,0.5339805369621883,0.35029858371543166,0.3977708333333333,0.320388322177313,0.6633857931394853
21,Transformer-FNET-128,0.41751551201092485,0.1487857369979764,0.18954344418318217,0.15656831700409682,0.5250356500852683
22,Transformer-MHA-64,0.7152426404719984,0.41446905739407125,0.3991381318425343,0.4768284269813322,0.8995970310512922
23,Transformer-MHA-128,0.8712450223918115,0.38270255948224746,0.34271170006464124,0.5227470134350869,0.8657293290454606
24,Transformer-FNET-64,0.6027669662990763,0.28540947612508294,0.2871906722156395,0.328781981617678,0.8840654837735855
25,Transformer-FNET-128,0.49640223860407345,0.2238247248160864,0.23839296140383118,0.27076485742040374,0.5925040949467658
26,Transformer-MHA-64,0.5433622103346875,0.2978840725604225,0.3345024413726704,0.3622414735564583,0.6230187024749919
27,Transformer-MHA-128,0.6029518901078534,0.4023294712929916,0.411764705882353,0.40196792673856896,0.8327202612567103
28,Transformer-FNET-64,0.4278978581730875,0.2326902432200773,0.324823689612422,0.28526523878205834,0.4385054214851361
29,Transformer-FNET-128,0.47998373525896465,0.27076080219439663,0.3130209465825904,0.23999186762948232,0.7232642744218664
30,Transformer-MHA-64,0.6192116836612249,0.3782792242593045,0.3857519698526893,0.37152701019673495,0.9144810024986012
31,Transformer-MHA-128,0.761656080922136,0.4094891735853667,0.4175544341650313,0.5077707206147574,0.7409183983826909
